,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,Date,Latitude,Longitude
1842,1843,201977245.0,20197724554010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2019-02-03 17:38:00,,2019-02-03 17:38:00,W ALAMEDA AVE / S PECOS ST,3138903.0,1684305.0,-105.006274167,39.7111826406,4.0,412.0,Athmar Park,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,HIT AND RUN UNKNOWN,NORTH,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,WEST,GOING STRAIGHT,  ,  ,  ,0.0,0.0,  ,  ,  ,  ,2019-02-03 17:38:00.000000,39.7111826406,-105.006274167
1914,1915,2018490555.0,201849055554010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2018-07-20 02:06:00,,2018-07-20 03:15:00,E 11TH AVE / N BROADWAY ST,3144162.0,1692593.0,-104.987415408,39.7338548907,6.0,611.0,Civic Center,1.0,0.0,BICYCLE WITH OTHER VEHICLE,FRONT TO REAR WITH MV IN TRANSPORT,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,RECKLESS DRIVING,AGGRESSIVE DRIVING,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-07-20 03:15:00.000000,39.7338548907,-104.987415408
1962,1963,201979253.0,20197925354410,5441,0,TRAF - ACCIDENT               ,2019-02-04 14:29:00,,2019-02-04 14:42:00.000001,E 7TH AVE / N SHERMAN ST,3144885.0,1690201.0,-104.984892977,39.7272771714,6.0,311.0,Speer,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2019-02-04 14:42:00.000001,39.7272771714,-104.984892977
2063,2064,201980404.0,20198040454411,5441,1,TRAF - ACCIDENT - SBI         ,2019-02-05 00:40:00.000001,,2019-02-05 00:46:00,1700 BLOCK N SPEER BLVD,3140166.0,1697468.0,-105.001528249,39.74729869,6.0,612.0,Auraria,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,HILLCREST,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTHWEST,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,BICYCLE,NORTHWEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,2019-02-05 00:46:00.000000,39.74729869,-105.001528249
2167,2168,201981657.0,20198165754010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2019-02-05 13:20:00,,2019-02-05 14:01:00,0 BLOCK E 16TH AVE,3144329.0,1695421.0,-104.986764826,39.7416156779,6.0,621.0,North Capitol Hill,1.0,0.0,WALL OR BUILDING,  ,WALL OR BUILDING,RAN OFF RIGHT SIDE,INTERSECTION RELATED,STRAIGHT ON-GRADE,DRY,DAY LIGHT,HIT AND RUN UNKNOWN,NORTH,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,WEST,AVOIDING OBJECT IN ROADWAY,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2019-02-05 14:01:00.000000,39.7416156779,-104.986764826
2509,2510,2018478552.0,201847855254410,5441,0,TRAF - ACCIDENT               ,2018-07-15 09:02:00,,2018-07-15 09:19:00,E 16TH AVE / N GRANT ST,3145221.0,1695448.0,-104.983592389,39.7416759209,6.0,621.0,North Capitol Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,NO APPARENT,  ,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-07-15 09:19:00.000000,39.7416759209,-104.983592389
2898,2899,201970191.0,20197019154410,5441,0,TRAF - ACCIDENT               ,2019-01-31 15:05:00,,2019-01-31 16:10:00,1200 BLOCK 15TH ST,3141148.0,1697627.0,-104.998032913,39.7477203292,6.0,612.0,Union Station,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,NORTHEAST,OTHER,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,TRANSIT BUS,NORTHEAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2019-01-31 16:10:00.000000,39.7477203292,-104.998032913
2904,2905,201970388.0,20197038854010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2019-01-31 17:23:00.000001,,2019-01-31 18:10:00,WEWATTA ST / 17TH ST,3140139.0,1699945.0,-105.001575937,39.7540988868,6.0,612.0,Union Station,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,ICY,DARK-LIGHTED,BICYCLE,NORTH,GOING STRAIGHT,CARELESS DRIVING,OTHER,OTHER,PASSENGER CAR/VAN,NORTH,PARKED,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2019-01-31 18:10:00.000000,39.7540988868,-105.001575937
3065,3066,2018484466.0,201848446654410,5441,0,TRAF - ACCIDENT               ,2018-07-17 18:01:00,,2018-07-17 18:09:00,E MLK BLVD / N YORK ST,3151881.0,1702887.0,-104.959752585,39.7619908789,2.0,211.0,Whittier,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,SIGNALING VIOLATION,DISTRACTED-OTHER,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-07-17 18:09:00.000000,39.7619908789,-104.959752585
3180,3181,2018504282.0,201850428254410,5441,0,TRAF - ACCIDENT               ,2018-07-25 15:20:00,,2018-07-25 16:30:00,E ARIZONA AVE / S DOWNING ST,3148182.0,1678370.0,-104.973415282,39.6947467292,3.0,312.0,Washington Park West,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,EAST,GOING STRAIGHT,FAILED TO YIELD ROW,DRIVER INEXPERIENCE,  ,TRANSIT BUS,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-07-25 16:30:00.000000,39.6947467292,-104.973415282
3443,3444,2018526263.0,201852626354010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2018-08-03 11:52:00,,2018-08-03 12:19:00,N ANDES CT / E GVR BLVD,3205886.0,1711179.0,-104.767423811,39.7837148833,5.0,523.0,Gateway - Green Valley Ranch,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,MAKING RIGHT TURN,CARELESS DRIVING,DISTRACTED-OTHER,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-08-03 12:19:00.000000,39.7837148833,-104.767423811
3462,3463,2018543441.0,201854344154410,5441,0,TRAF - ACCIDENT               ,2018-08-10 09:38:00,,2018-08-10 09:38:00,N SPEER BLVD / W 13TH AVE,3141820.0,1693673.0,-104.995721171,39.7368556733,6.0,611.0,Civic Center,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,NO APPARENT,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,2018-08-10 09:38:00.000000,39.7368556733,-104.995721171
3533,3534,2018526478.0,201852647854010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2018-08-03 13:08:00,,2018-08-03 15:32:00,17TH ST / LARIMER ST,3141656.0,1698513.0,-104.996208867,39.7501448326,6.0,612.0,Union Station,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-GRADE,WET,DAY LIGHT,TRANSIT BUS,SOUTHEAST,MAKING LEFT TURN,CARELESS DRIVING,OTHER,  ,BICYCLE,EAST,GOING STRAIGHT,  ,  ,OTHER,0.0,0.0,  ,  ,  ,  ,2018-08-03 15:32:00.000000,39.7501448326,-104.996208867
3767,3768,2018528773.0,201852877354010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2018-08-04 11:14:00,,2018-08-04 11:14:00,300 BLK E COLFAX AVE,3145279.0,1694803.0,-104.983399187,39.7399043754,6.0,623.0,Capitol Hill,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,BICYCLE WITH OTHER VEHICLE,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,NORTH,GOING STRAIGHT,CARELESS DRIVING,DRIVER EMOTIONALLY UPSET,  ,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-08-04 11:14:00.000000,39.7399043754,-104.983399187
3829,3830,2018583717.0,201858371754410,5441,0,TRAF - ACCIDENT               ,2018-08-26 19:31:00,,2018-08-26 20:41:00,W MISSISSIPPI AVE / S HURON ST,3141599.0,1679038.0,-104.996795222,39.6966829663,4.0,422.0,Ruby Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,OTHER,CARELESS DRIVING,DISTRACTED-OTHER,  ,PICKUP TRUCK/UTILITY VAN,NORTH,MAKING RIGHT TURN,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-08-26 20:41:00.000000,39.6966829663,-104.996795222
3912,3913,2018567741.0,201856774154010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2018-08-20 08:51:00,,2018-08-20 08:51:00,E 18TH AVE / N CHERRY ST,3159219.0,1696720.0,-104.933788375,39.744938809,2.0,222.0,South Park Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,EAST,GOING STRAIGHT,  ,  ,  ,BICYCLE,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,2018-08-20 08:51:00.000000,39.744938809,-104.933788375
4012,4013,2018550217.0,201855021754410,5441,0,TRAF - ACCIDENT               ,2018-08-13 07:10:00,,2018-08-13 07:10:00,E MONTVIEW BLVD / N ONEIDA ST,3166418.0,1697676.0,-104.908165987,39.747437223,2.0,223.0,South Park Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-08-13 07:10:00.000000,39.747437223,-104.908165987
4013,4014,2018550226.0,201855022654412,5441,2,TRAF - ACCIDENT - FATAL       ,2018-08-13 07:06:00,,2018-08-13 07:30:00,24TH ST / LAWRENCE ST,3144264.0,1700664.0,-104.986890659,39.7560096176,6.0,621.0,Five Points,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,SOUTH,GOING STRAIGHT,DISREGARD STOP SIGN,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,1.0,BICYCLE,  ,  ,  ,2018-08-13 07:30:00.000000,39.7560096176,-104.986890659
4045,4046,2018587315.0,201858731554010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2018-08-28 07:30:00,,2018-08-28 09:49:00,4600 BLOCK E IOWA AVE,3159656.0,1675776.0,-104.932699461,39.6874359811,3.0,322.0,Virginia Village,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,HIT AND RUN UNKNOWN,SOUTH,MAKING RIGHT TURN,FAILED TO YIELD ROW,  ,  ,BICYCLE,SOUTH,GOING STRAIGHT,  ,  ,  ,0.0,0.0,  ,  ,  ,  ,2018-08-28 09:49:00.000000,39.6874359811,-104.932699461
4052,4053,2018587574.0,201858757454010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2018-08-28 10:35:00,,2018-08-28 11:01:00,W 13TH AVE / N SPEER BLVD,3141820.0,1693673.0,-104.995721171,39.7368556733,6.0,611.0,Civic Center,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,  ,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,VEHICLE OVER 10000 LBS,NORTHWEST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-08-28 11:01:00.000000,39.7368556733,-104.995721171
4103,4104,2018550638.0,201855063854010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2018-08-13 10:42:00,,2018-08-13 11:04:00,S KALAMATH ST / W ALAMEDA AVE,3141120.0,1684325.0,-104.998393685,39.711204204,3.0,312.0,Baker,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTHEAST,MAKING LEFT TURN,FAILED TO YIELD ROW,  ,  ,BICYCLE,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-08-13 11:04:00.000000,39.711204204,-104.998393685
4335,4336,2018553786.0,201855378654410,5441,0,TRAF - ACCIDENT               ,2018-08-14 16:06:00,,2018-08-14 16:53:00,E RANDOLPH PL / N POTOMAC WAY,3189054.0,1716089.0,-104.827183156,39.7975506792,5.0,521.0,Montbello,1.0,0.0,BICYCLE WITH OTHER VEHICLE,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,GOING STRAIGHT,DISREGARD STOP SIGN,DRIVER INEXPERIENCE,  ,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-08-14 16:53:00.000000,39.7975506792,-104.827183156
4348,4349,2018572783.0,201857278354410,5441,0,TRAF - ACCIDENT               ,2018-08-22 10:32:00,,2018-08-22 10:32:00,E 12TH AVE / N LINCOLN ST,3144522.0,1693112.0,-104.986124976,39.7352740587,6.0,623.0,Capitol Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,EAST,MAKING LEFT TURN,FAILED TO YIELD ROW,OTHER,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-08-22 10:32:00.000000,39.7352740587,-104.986124976
