,Crash ID,DOT Case Number,Date Of Crash,Time Of Crash,Severity,Severity Text Format,Most Severe Injury,Most Severe Injury Text Format,Number Of Vehicles,Number Of Pedestrians,Number Of Qualifying Commercial Vehicles,Town,Town Text Format,Route Class,Route Class Text Format,Route or Local Road Number,Route Direction,Route Direction Text Format,Cumulative Route Mileage,Ramp or Turning Road Number,Ramp Letter,At or Between Intersections,At or Between Intersections Text Format,Intersecting Leg #1,Intersecting Leg #2,Intersecting Leg #3,Intersecting Leg #4,Name of Road that Crash Occurred On,Name or Route Number of Road at which Crash Occurred,Measure Distance,Unit Of Measure,Unit Of Measure Text Format,Measure Direction,Measure Direction Text Format,"Name of Nearest Intersection, Street, Town Line or Mile Marker",Alpha Description of Crash Location,Collision Type,Collision Type Text Format,Weather Condition,Weather Condition Text Format,Road Surface Condition,Road Surface Condition Text Format,Light Condition,Light Condition Text Format,Crash Occurred On,Crash Occurred On Text Format,Other Roadway Feature,Other Roadway Feature Text Format,Median Barrier Penetration,Median Barrier Penetration Text Format,Construction or Maintenance Related,Construction or Maintenance Related Text Format,At-Fault Traffic Unit Number,Contributing Factor,Contributing Factor Text Format,Average Daily Traffic,Rural or Urban,Rural or Urban Text Format,Number of Lanes,CrashId,Fatal Case Status,Fatal Case Status Text Format,CrashId.1,CrashId.2,Latitude,Longitude,Town Name,Town Number,Town Number.1,Town Number Text Format,Year,Month,Month Text Format,Day,Day of the Week,Day of the Week Text Format,Time of Crash,Hour of the Day,Case Identifier,Crash Severity,Crash Severity Text Format,Number Of Motor Vehicles,Number Of Non-Motorist,Number Of Witnesses,Milemarker,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,Distance From Nearest Landmark,Unit Of Measure From Nearest Landmark,Direction From Nearest Landmark,Latitude.1,Longitude.1,First Harmful Event,First Harmful Event Text Format,Manner of Crash / Collision Impact,Manner of Crash / Collision Impact Text Format,Location of First Harmful Event,Location of First Harmful Event Text Format,Weather 2,Weather 2 Text Format,"Contributing Circumstances, Environment","Contributing Circumstances, Environment Text Format",Environment 2,Environment 2 Text Format,Environment 3,Environment 3 Text Format,"Contributing Circumstances, Road","Contributing Circumstances, Road Text Format",Road 2,Road 2 Text Format,Road 3,Road 3 Text Format,Crash Specific Location,Crash Specific Location Text Format,Type of Intersection,Type of Intersection Text Format,School Bus Related,School Bus Related Text Format,Work Zone Related,Work Zone Related Text Format,Location Of Crash Relative To Work Zone,Location Of Crash Relative To Work Zone Text Format,Type of Work Zone,Type of Work Zone Text Format,Worker Presence,Worker Presence Text Format,Law Enforcement Presence,Law Enforcement Presence Text Format,Were Vehicles Moved Prior To Police Arrival,Trafficway Ownership,Trafficway Ownership Text Format,Trafficway Class,Trafficway Class Text Format,Police Agency,Police Agency Text Format,Badge Number,Approval Date,Police Case Status,Police Case Status Text Format,Crash Report Submission Date,Related Case Identifiers,Urban Area,Urban Area Text Format,No. of Through Lanes (Reverse Dir.),No. of Through Lanes (Log Dir.),Highway Type (FHWA),Highway Type (FHWA) Text Format,Functional Classification,Functional Classification Text Format,Date,fatal,suspected_serious_injury,suspected_minor_injury,possible_injury,no_apparent_injury,geometry,index_right
15809,,2371058,2016-01-28,,,,O,No Apparent Injury (O),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,,2.0,Urban,,164933.0,1.0,Complete,164933.0,164933.0,41.77792,-72.510969,Manchester,77.0,77.0,Manchester,2016.0,1.0,January,28.0,5.0,Thursday,11:45:00,11.0,M201601231,O,Property Damage Only,1.0,1.0,1.0,0.0,292.0,LENOX ST,LENOX ST,US 6-EAST CENTER ST,,,, ,41.77792,-72.510969,10.0,Pedalcycle/Pedalcyclist,99.0,Unknown,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,2.0,Intersection,2.0,Four-Way Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,True,1.0,Public Road,1.0,"Trafficway, On Road",CT0007700,Manchester PD,5228,2016-01-29 13:28:11.0,C,Closed,2016-01-29 11:22:34.0,,D,HARTFORD,,2.0,,,7.0,LOCAL - NEW HPMS,2016-01-28,0,0,0,0,1,POINT (-72.510969 41.77792),0
15810,,2327066,2015-09-27,,,,B,Suspected Minor Injury (B),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,,2.0,Urban,,165507.0,1.0,Complete,165507.0,165507.0,41.804639,-73.118363,Torrington,143.0,143.0,Torrington,2015.0,9.0,September,27.0,1.0,Sunday,11:32:00,11.0,15-38496,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,2.0,0.12,409.0,WALL ST,WALL ST,,CASSON AV,50.0,Feet,N,41.804639,-73.118363,10.0,Pedalcycle/Pedalcyclist,4.0,"Sideswipe, same direction",1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0014300,Torrington PD,082,2015-10-01 00:00:00.0,C,Closed,2015-09-28 00:00:00.0,,P,TORRINGTON,,2.0,,,7.0,LOCAL - NEW HPMS,2015-09-27,0,0,1,0,0,POINT (-73.118363 41.804639),0
15811,,2376722,2016-02-08,,,,C,Possible Injury (C),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,7,Snow,2,Wet,1,Daylight,,,,,,,,,,,,10600.0,2.0,Urban,,168354.0,1.0,Complete,168354.0,168354.0,41.761538,-72.709746,Hartford,64.0,64.0,Hartford,2016.0,2.0,February,8.0,2.0,Monday,13:57:00,13.0,16-04205,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,0.0,0.3,540.0,WEST BOULEVARD,West Boulevard,SOUTH WHITNEY ST,,,, ,41.761538,-72.709746,10.0,Pedalcycle/Pedalcyclist,88.0,Not Applicable,1.0,On Roadway,88.0,Not Applicable,1.0,Weather Conditions,88.0,Not Applicable,88.0,Not Applicable,5.0,"Road Surface Condition (wet, icy, snow, slush, etc.)",88.0,Not Applicable,88.0,Not Applicable,2.0,Intersection,2.0,Four-Way Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0006400,Hartford PD,G78,2016-02-15 12:14:00.0,C,Closed,2016-02-14 08:30:00.0,,D,HARTFORD,,4.0,,,4.0,MINOR ARTERIAL - NEW HPMS,2016-02-08,0,0,0,1,0,POINT (-72.709746 41.761538),0
15812,,2383688,2016-01-25,,,,O,No Apparent Injury (O),,,,,,3,State,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,19800.0,2.0,Urban,,168578.0,1.0,Complete,168578.0,168578.0,41.485114,-72.100005,Montville,86.0,86.0,Montville,2016.0,1.0,January,25.0,2.0,Monday,08:10:00,8.0,1600048079,O,Property Damage Only,1.0,1.0,0.0,9.04,32.0,032,Norwich New London Tpke,,GALLIVAN LA,1.0,Tenths of Mile,S,41.485114,-72.100005,10.0,Pedalcycle/Pedalcyclist,88.0,Not Applicable,1.0,On Roadway,88.0,Not Applicable,3.0,Glare,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CTCSP0000,State Police,EC49    ,2016-03-05 10:15:09.0,C,Closed,2016-03-08 13:08:04.0,,H,NORWICH - NEW LONDON,1.0,2.0,3.0,3 OR MORE LANES CONTIGUOUS (WIDTH 30' OR MORE),4.0,MINOR ARTERIAL - NEW HPMS,2016-01-25,0,0,0,0,1,POINT (-72.100005 41.485114),0
15813,,2384824,2016-03-07,,,,C,Possible Injury (C),,,,,,2,USRoute,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,4,Dark-Lighted,,,,,,,,,,,,13300.0,2.0,Urban,,172396.0,1.0,Complete,172396.0,172396.0,41.79767,-71.907494,Brooklyn,19.0,19.0,Brooklyn,2016.0,3.0,March,7.0,2.0,Monday,18:28:00,18.0,1600131287,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,0.0,109.83,6.0,006,Providence Rd,,ALLEN HILL RD #2,200.0,Feet,W,41.79767,-71.907494,10.0,Pedalcycle/Pedalcyclist,88.0,Not Applicable,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,6.0,Railway Grade Crossing,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CTCSP0000,State Police,0594    ,2016-03-08 17:01:19.0,C,Closed,2016-03-08 17:03:06.0,,S,WORCESTER,0.0,4.0,3.0,3 OR MORE LANES CONTIGUOUS (WIDTH 30' OR MORE),3.0,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2016-03-07,0,0,0,1,0,POINT (-71.907494 41.79767),0
15814,,2323920,2015-09-21,,,,O,No Apparent Injury (O),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,2000.0,2.0,Urban,,174038.0,1.0,Complete,174038.0,174038.0,41.347235,-72.103441,New London,95.0,95.0,New London,2015.0,9.0,September,21.0,2.0,Monday,08:53:00,8.0,150819,O,Property Damage Only,1.0,2.0,0.0,0.15,270.0,SHAW ST,Shaw Street,STEWARD ST,,,, ,41.347235,-72.103441,10.0,Pedalcycle/Pedalcyclist,88.0,Not Applicable,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,2.0,Intersection,3.0,T-Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0009501,New London PD,531,2015-09-23 00:00:00.0,C,Closed,2015-09-21 00:00:00.0,,H,NORWICH - NEW LONDON,,2.0,,,5.0,MAJOR COLLECTOR - NEW HPMS,2015-09-21,0,0,0,0,1,POINT (-72.103441 41.347235),0
15815,,2389396,2016-03-12,,,,B,Suspected Minor Injury (B),,,,,,3,State,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,15100.0,2.0,Urban,,175091.0,1.0,Complete,175091.0,175091.0,41.511375,-72.918616,Cheshire,25.0,25.0,Cheshire,2016.0,3.0,March,12.0,7.0,Saturday,10:41:00,10.0,2016-00005836,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,1.0,3.2,70.0,070,W MAIN ST ,,CARTER LA,131.0,Feet,W,41.511375,-72.918616,10.0,Pedalcycle/Pedalcyclist,3.0,Angle,2.0,Shoulder,,,0.0,None,,,,,0.0,None,,,,,8.0,Driveway Access,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0002500,Cheshire PD,67,2016-03-22 10:42:47.0,C,Closed,2016-03-22 10:42:47.0,#2016-________,G,NEW HAVEN,0.0,2.0,1.0,2 LANE CONTIGUOUS (WIDTH UNDER 36'),3.0,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2016-03-12,0,0,1,0,0,POINT (-72.918616 41.511375),0
15816,,2309169,2015-08-05,,,,C,Possible Injury (C),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,7500.0,2.0,Urban,,176559.0,1.0,Complete,176559.0,176559.0,41.753619,-72.701885,Hartford,64.0,64.0,Hartford,2015.0,8.0,August,5.0,4.0,Wednesday,10:43:00,10.0,15-24347,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,0.0,0.29,252.0,HAMILTON ST,121 Hamilton Street ,POPE PARK HWY NO 4,,,, ,41.753619,-72.701885,14.0,Motor Vehicle in Operation,97.0,Other,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,2.0,Intersection,3.0,T-Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0006400,Hartford PD,J73,2015-08-06 00:00:00.0,C,Closed,2015-08-05 00:00:00.0,,D,HARTFORD,,2.0,,,5.0,MAJOR COLLECTOR - NEW HPMS,2015-08-05,0,0,0,1,0,POINT (-72.701885 41.753619),0
15817,,2382509,2016-02-20,,,,O,No Apparent Injury (O),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,99,Unknown,99,Unknown,,,,,,,,,,,,,2.0,Urban,,177427.0,1.0,Complete,177427.0,177427.0,41.670196,-72.766513,New Britain,89.0,89.0,New Britain,2016.0,2.0,February,20.0,7.0,Saturday,14:00:00,14.0,16-3979,O,Property Damage Only,2.0,1.0,0.0,0.01,229.0,HARVARD ST,25 HARVARD ST,,WOODLAND ST,50.0,Feet,N,41.670196,-72.766513,15.0,Parked Motor Vehicle,4.0,"Sideswipe, same direction",1.0,On Roadway,88.0,Not Applicable,99.0,Unknown,88.0,Not Applicable,88.0,Not Applicable,99.0,Unknown,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0008900,New Britain PD,443,2016-03-03 13:04:58.0,O,Open,2016-03-03 13:04:58.0,,D,HARTFORD,,2.0,,,7.0,LOCAL - NEW HPMS,2016-02-20,0,0,0,0,1,POINT (-72.766513 41.670196),0
15818,,2378555,2016-02-19,,,,O,No Apparent Injury (O),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,12100.0,2.0,Urban,,177504.0,1.0,Complete,177504.0,177504.0,41.31307,-72.921788,New Haven,93.0,93.0,New Haven,2016.0,2.0,February,19.0,6.0,Friday,07:54:00,7.0,16008185,O,Property Damage Only,2.0,1.0,0.0,0.2,656.0,WHITNEY AV,WHITNEY AVE,,TRUMBULL ST,100.0,Feet,N,41.31307,-72.921788,10.0,Pedalcycle/Pedalcyclist,4.0,"Sideswipe, same direction",1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0009300,New Haven PD,234,2016-02-19 12:03:19.0,C,Closed,2016-02-22 04:01:17.0,,G,NEW HAVEN,,2.0,,,3.0,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2016-02-19,0,0,0,0,1,POINT (-72.92178800000001 41.31307),0
15819,,2389015,2016-03-17,,,,B,Suspected Minor Injury (B),,,,,,3,State,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,8600.0,2.0,Urban,,177697.0,1.0,Complete,177697.0,177697.0,41.274451,-73.420447,Redding,117.0,117.0,Redding,2016.0,3.0,March,17.0,5.0,Thursday,13:31:00,13.0,16-1746,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,1.0,1.62,107.0,107,Redding Road (Route 107),,PEACEABLE ST,100.0,Feet,S,41.274451,-73.420447,10.0,Pedalcycle/Pedalcyclist,4.0,"Sideswipe, same direction",1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0011700,Redding PD,109,2016-03-19 15:58:08.0,C,Closed,2016-03-19 15:29:50.0,,A,BRIDGEPORT - STAMFORD,0.0,2.0,1.0,2 LANE CONTIGUOUS (WIDTH UNDER 36'),5.0,MAJOR COLLECTOR - NEW HPMS,2016-03-17,0,0,1,0,0,POINT (-73.420447 41.274451),0
15820,,2391633,2016-03-08,,,,A,Suspected Serious Injury (A),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,4,Dark-Lighted,,,,,,,,,,,,4200.0,2.0,Urban,,179064.0,1.0,Complete,179064.0,179064.0,41.174598,-73.201261,Bridgeport,15.0,15.0,Bridgeport,2016.0,3.0,March,8.0,3.0,Tuesday,20:02:00,20.0,160308-286,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,1.0,0.68,460.0,IRANISTAN AV NO 1,Iranistan Ave,,SR 700-FAIRFIELD AV,30.0,Feet,S,41.174598,-73.201261,10.0,Pedalcycle/Pedalcyclist,1.0,Front to rear,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,True,1.0,Public Road,1.0,"Trafficway, On Road",CT0001509,Bridgeport PD,201,2016-03-22 16:10:12.0,O,Open,2016-03-16 19:27:06.0,,A,BRIDGEPORT - STAMFORD,,2.0,,,5.0,MAJOR COLLECTOR - NEW HPMS,2016-03-08,0,1,0,0,0,POINT (-73.201261 41.174598),0
15821,,2391451,2016-03-25,,,,B,Suspected Minor Injury (B),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,4,Dark-Lighted,,,,,,,,,,,,,2.0,Urban,,180079.0,1.0,Complete,180079.0,180079.0,41.78096,-72.336478,Coventry,32.0,32.0,Coventry,2016.0,3.0,March,25.0,6.0,Friday,00:56:00,0.0,16-1720,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,0.0,0.3,27.0,DALY RD,Daly Rd,LAKE RD,,,, ,41.78096,-72.336478,10.0,Pedalcycle/Pedalcyclist,4.0,"Sideswipe, same direction",4.0,Roadside,88.0,Not Applicable,99.0,Unknown,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,2.0,Intersection,3.0,T-Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0003200,Coventry PD,272,2016-03-29 06:27:54.0,C,Closed,2016-03-26 03:43:57.0,,Q,WILLIMANTIC,,2.0,,,7.0,LOCAL - NEW HPMS,2016-03-25,0,0,1,0,0,POINT (-72.336478 41.78096),0
15822,,2392018,2016-03-27,,,,B,Suspected Minor Injury (B),,,,,,3,State,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,9100.0,2.0,Urban,,180735.0,1.0,Complete,180735.0,180735.0,41.582269,-72.50617,East Hampton,42.0,42.0,East Hampton,2016.0,3.0,March,27.0,1.0,Sunday,16:30:00,16.0,16-2353,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,0.0,16.05,66.0,066,East High St. (Rt. 66),NORTH MAIN ST,,,, ,41.582269,-72.50617,10.0,Pedalcycle/Pedalcyclist,88.0,Not Applicable,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,2.0,Intersection,2.0,Four-Way Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0004200,East Hampton PD,116,2016-03-30 18:45:00.0,C,Closed,2016-03-30 04:11:00.0,,N,LAKE POCOTOPAUG,0.0,2.0,1.0,2 LANE CONTIGUOUS (WIDTH UNDER 36'),3.0,PRINCIPAL ARTERIAL - OTHER - NEW HPMS,2016-03-27,0,0,1,0,0,POINT (-72.50617 41.582269),0
15823,,2392457,2016-03-12,,,,B,Suspected Minor Injury (B),,,,,,3,State,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,13600.0,2.0,Urban,,180738.0,1.0,Complete,180738.0,180738.0,41.763031,-72.624899,East Hartford,43.0,43.0,East Hartford,2016.0,3.0,March,12.0,7.0,Saturday,16:20:00,16.0,201600006512,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,0.0,1.54,502.0,502,"silver ln, clement rd",,CLEMENT RD,75.0,Feet,W,41.763031,-72.624899,10.0,Pedalcycle/Pedalcyclist,3.0,Angle,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,True,1.0,Public Road,1.0,"Trafficway, On Road",CT0004300,East Hartford PD,261,2016-04-03 23:43:16.0,O,Open,2016-04-03 23:43:16.0,,D,HARTFORD,0.0,4.0,3.0,3 OR MORE LANES CONTIGUOUS (WIDTH 30' OR MORE),4.0,MINOR ARTERIAL - NEW HPMS,2016-03-12,0,0,1,0,0,POINT (-72.624899 41.763031),0
15824,,2328244,2015-03-25,,,,O,No Apparent Injury (O),,,,,,0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,,,,,181355.0,1.0,Complete,181355.0,181355.0,41.053508,-73.689543,Greenwich,57.0,57.0,Greenwich,2015.0,3.0,March,25.0,4.0,Wednesday,14:06:00,14.0,1500009831,O,Property Damage Only,1.0,1.0,0.0,,,,KING ST,SHERWOOD AV,Sherwood Ave,20.0,Feet,S,41.053508,-73.689543,10.0,Pedalcycle/Pedalcyclist,88.0,Not Applicable,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,True,1.0,Public Road,1.0,"Trafficway, On Road",CT0005700,Greenwich PD,124,2015-10-06 00:00:00.0,C,Closed,2015-10-06 00:00:00.0,,,,,,,,,,2015-03-25,0,0,0,0,1,POINT (-73.689543 41.053508),0
15825,,2286384,2015-04-09,,,,A,Suspected Serious Injury (A),,,,,,0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,8,"Mud, Dirt, Gravel",1,Daylight,,,,,,,,,,,,,,,,181436.0,1.0,Complete,181436.0,181436.0,41.210024,-73.064217,Milford,84.0,84.0,Milford,2015.0,4.0,April,9.0,5.0,Thursday,14:10:00,14.0,2015002087,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,2.0,,,,150 SURF AVE,,UNDERHILL RD,75.0,Feet,N,41.210024,-73.064217,6.0,Fell/Jumped from Vehicle,88.0,Not Applicable,1.0,On Roadway,88.0,Not Applicable,99.0,Unknown,88.0,Not Applicable,88.0,Not Applicable,7.0,"Rut, Holes, Bumps",88.0,Not Applicable,88.0,Not Applicable,97.0,Other,1.0,Not at Intersection,1.0,No,2.0,Yes. If yes then all other sibling elements should be provided.,2.0,Advance Warning Area,3.0,Work on Shoulder or Median,1.0,No,1.0,No,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0008400,Milford PD,0256,2015-04-27 00:00:00.0,C,Closed,2015-06-16 00:00:00.0,,,,,,,,,,2015-04-09,0,1,0,0,0,POINT (-73.064217 41.210024),0
15826,,2306025,2015-07-19,,,,C,Possible Injury (C),,,,,,0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,,,,,181465.0,1.0,Complete,181465.0,181465.0,41.3104283,-72.943875,New Haven,93.0,93.0,New Haven,2015.0,7.0,July,19.0,1.0,Sunday,12:53:00,12.0,15032361,A,"Injury of any type (Serious, Minor, Possible)",1.0,2.0,0.0,,,,ORCHARD ST,,,,, ,41.3104283,-72.943875,9.0,Pedestrian,2.0,Front to front,8.0,"Off Roadway,  Location Unknown",88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,2.0,"Trafficway, Not on Road",CT0009300,New Haven PD,420,2015-07-24 00:00:00.0,C,Closed,2015-08-04 00:00:00.0,,,,,,,,,,2015-07-19,0,0,0,1,0,POINT (-72.94387500000001 41.3104283),0
15827,,2301577,2015-06-09,,,,O,No Apparent Injury (O),,,,,,0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,,,,,181678.0,1.0,Complete,181678.0,181678.0,41.249391,-73.207734,Trumbull,144.0,144.0,Trumbull,2015.0,6.0,June,9.0,3.0,Tuesday,15:19:00,15.0,1500008911,O,Property Damage Only,1.0,1.0,0.0,,,,RT 127,,ROCKLAND RD,50.0,Feet,S,41.249391,-73.207734,10.0,Pedalcycle/Pedalcyclist,88.0,Not Applicable,2.0,Shoulder,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,99.0,Unknown,88.0,Not Applicable,88.0,Not Applicable,8.0,Driveway Access,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,2.0,"Trafficway, Not on Road",CT0014400,Trumbull PD,21,2015-06-10 00:00:00.0,C,Closed,2015-07-29 00:00:00.0,,,,,,,,,,2015-06-09,0,0,0,0,1,POINT (-73.207734 41.249391),0
